MutantID,Status,Output
53,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/53/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -31 +31 @@|-            trian = trian + 3;|+            trian = trian * 3;|
52,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/52/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -31 +31 @@|-            trian = trian + 3;|+            trian = trian % 3;|
115,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/115/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -44 +44 @@|-            return Type.ISOSCELES;|+            |
114,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/114/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -43 +43 @@|-        if (trian == 1 && a + b > c) {|+        if (a + b > c) {|
88,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/88/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -34 +34 @@|-            if (a + b <= c || a + c <= b || b + c <= a) {|+            if (a + b <= c || a + c <= b) {|
89,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/89/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -34 +34 @@|-            if (a + b <= c || a + c <= b || b + c <= a) {|+            if (b + c <= a) {|
111,LIVE,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/111/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -43 +43 @@|-        if (trian == 1 && a + b > c) {|+        if (trian == 1 == a + b > c) {|
110,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/110/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -43 +43 @@|-        if (trian == 1 && a + b > c) {|+        if (trian == 1 && false) {|
113,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/113/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -43 +43 @@|-        if (trian == 1 && a + b > c) {|+        if (trian == 1) {|
112,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/112/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -43 +43 @@|-        if (trian == 1 && a + b > c) {|+        if (false) {|
